Category,num_cells,pct_cells,median_umis,stddev_umis
No tag molecules,22,0.2,None,None
No tag assigned,2211,20.1,None,None
1 tag assigned,8395,76.2,None,None
More than 1 tag assigned,418,3.8,None,None
CMO301,668,6.1,91.5,767.9
CMO302,1003,9.1,150.0,1060.0
CMO303,1779,16.1,722.0,1268.2
CMO304,772,7.0,603.5,1087.6
CMO305,2052,18.6,320.0,1088.6
CMO306,2121,19.2,260.0,1141.3
CMO301|CMO302,11,0.1,221.0,422.9
CMO301|CMO303,26,0.2,1139.5,1340.4
CMO301|CMO304,12,0.1,691.0,1508.7
CMO301|CMO305,15,0.1,764.0,671.8
CMO301|CMO306,19,0.2,427.0,1048.3
CMO302|CMO303,29,0.3,927.0,1321.4
CMO302|CMO304,11,0.1,474.0,443.1
CMO302|CMO305,22,0.2,663.5,1051.5
CMO302|CMO306,16,0.1,459.5,581.5
CMO303|CMO304,25,0.2,2199.0,2326.3
CMO303|CMO305,57,0.5,1509.0,1569.3
CMO303|CMO306,46,0.4,1398.5,1606.7
CMO304|CMO305,24,0.2,979.5,36264.0
CMO304|CMO306,31,0.3,720.0,1784.6
CMO305|CMO306,42,0.4,1111.5,3419.9
CMO301|CMO302|CMO305,1,0.0,571.0,0.0
CMO301|CMO303|CMO305,1,0.0,461.0,0.0
CMO301|CMO303|CMO306,5,0.0,1024.0,1048.7
CMO301|CMO304|CMO306,2,0.0,602.5,21.5
CMO301|CMO305|CMO306,1,0.0,461.0,0.0
CMO302|CMO303|CMO305,3,0.0,1043.0,2802.5
CMO302|CMO303|CMO306,3,0.0,1531.0,424.2
CMO302|CMO304|CMO305,1,0.0,2725.0,0.0
CMO302|CMO305|CMO306,3,0.0,759.0,409.5
CMO303|CMO304|CMO305,3,0.0,2067.0,341.4
CMO303|CMO304|CMO306,6,0.1,3642.0,2202.6
CMO303|CMO305|CMO306,2,0.0,1590.5,1073.5
CMO304|CMO305|CMO306,1,0.0,699.0,0.0
